match_id,date,season,batting_team,opponent,venue,over,ball,bowler,batter_runs,total_runs,is_wicket,dismissal_kind,arm,bowl_type
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",0,8,Mohammed Siraj,0,0,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",1,2,I Sharma,1,1,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",2,1,Mohammed Siraj,0,0,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",2,2,Mohammed Siraj,1,1,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",3,1,I Sharma,6,6,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",3,2,I Sharma,6,6,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",3,3,I Sharma,4,4,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",3,4,I Sharma,0,0,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",3,5,I Sharma,6,6,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",3,6,I Sharma,0,1,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",3,7,I Sharma,0,1,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",3,8,I Sharma,4,4,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",4,3,Washington Sundar,6,6,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",4,4,Washington Sundar,0,0,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",4,5,Washington Sundar,6,6,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",4,6,Washington Sundar,4,4,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",5,2,M Prasidh Krishna,0,0,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",5,3,M Prasidh Krishna,0,0,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",5,4,M Prasidh Krishna,1,1,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",6,1,Rashid Khan,0,0,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",6,2,Rashid Khan,0,1,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",6,4,Rashid Khan,1,1,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",6,6,Rashid Khan,0,0,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",7,6,M Prasidh Krishna,6,6,False,,right,pace
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",8,2,Rashid Khan,0,0,False,,right,spin
1473484,2025-04-28,2025,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",8,3,Rashid Khan,4,4,False,,right,spin
